split,h,1 Month Anomaly Rainfalls (%),Day,FCG,Fatalities,Month,NDVI Anomaly,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
3,28,1,1,1,1,1,1,1,1,1,0.7000000000000001,0.49,0.264,3,7.5,61,0,0.62,0.355,0.7000000000000001,95,0.6662577203269804,0.6461840046079383,"(8860, 24)","(2220, 24)",0.02007371571904204,0.11417428490523532
3,29,1,1,1,0,1,0,0,1,1,0.75,0.96,0.182,3,4.0,70,0,0.205,0.595,0.65,578,0.6647594134469783,0.6283959837732159,"(8840, 17)","(2220, 17)",0.03636342967376238,0.12602657673754014
3,30,0,1,1,1,1,1,0,1,1,0.8,0.96,0.28,3,2.6,61,1,0.495,0.355,0.7000000000000001,268,0.6679532401730055,0.6288813300490801,"(8820, 29)","(2220, 29)",0.03907191012392541,0.12696436503484612
4,1,0,1,1,1,1,0,1,1,1,1.0,0.515,0.028999999999999998,4,6.2,316,1,0.525,0.535,0.6000000000000001,585,0.9866693595048436,0.9866661813079494,"(9760, 29)","(2460, 29)",3.178196894104701e-06,0.004001416886372833
4,2,1,1,1,1,1,0,0,1,1,1.0,0.29,0.054000000000000006,3,9.8,216,1,0.035,0.485,0.8500000000000001,512,0.9739595313325972,0.9739363201667466,"(9760, 29)","(2440, 29)",2.3211165850689497e-05,0.007828388416316301
4,3,0,1,1,1,1,1,1,1,1,0.8,0.24,0.066,3,9.9,157,0,0.475,0.595,0.6000000000000001,340,0.9614244448579294,0.9614152480136388,"(9740, 23)","(2440, 23)",9.196844290682016e-06,0.011579104333624643
4,4,0,1,1,1,1,1,0,1,1,0.95,0.705,0.073,3,7.300000000000002,155,1,0.8250000000000001,0.68,0.6000000000000001,452,0.9500626679414764,0.9498089336115518,"(9720, 29)","(2440, 29)",0.00025373432992470413,0.015158813648504332
4,5,0,1,1,1,1,1,1,1,1,0.95,0.455,0.07100000000000001,3,8.700000000000001,141,0,0.585,0.745,0.9,580,0.9372043474437508,0.9372766895353056,"(9700, 23)","(2440, 23)",7.234209155460024e-05,0.018889335230962943
4,6,0,1,1,1,1,1,0,1,1,1.0,0.995,0.068,3,2.1,140,0,0.435,0.775,0.8,446,0.9249128545788934,0.9247771919605676,"(9680, 22)","(2440, 22)",0.00013566261832576032,0.022621107459160017
4,7,1,1,1,1,1,1,0,1,1,0.9,0.14,0.053,3,9.0,149,0,0.435,0.505,0.7000000000000001,39,0.9108868189602533,0.910933207677987,"(9680, 23)","(2420, 23)",4.6388717733769624e-05,0.02676642641433766
4,8,1,1,1,1,1,1,0,1,1,0.9,0.8250000000000001,0.21100000000000002,3,2.4000000000000004,75,0,0.39,0.895,0.75,581,0.8989340777163415,0.8987524709268891,"(9660, 23)","(2420, 23)",0.00018160678945233766,0.030446901437714186
4,9,0,1,1,1,1,1,0,1,1,0.9,0.465,0.223,3,3.6,75,0,0.495,0.64,0.8,587,0.8865480168960972,0.8866907514682303,"(9640, 22)","(2420, 22)",0.00014273457213309637,0.034135509131664014
4,10,0,1,1,1,1,1,0,1,1,0.9,0.92,0.28800000000000003,3,1.9,68,0,0.885,0.2,0.75,322,0.8728891384019914,0.8729161768089622,"(9620, 22)","(2420, 22)",2.7038406970714128e-05,0.03815218536428206
4,11,0,1,1,1,1,1,0,1,1,1.0,0.92,0.28200000000000003,3,7.1000000000000005,65,0,0.795,0.36,1.0,377,0.8574337503922594,0.8568649959214447,"(9600, 22)","(2420, 22)",0.0005687544708147253,0.04316800301189248
4,12,0,1,1,1,1,1,0,1,1,0.75,0.455,0.215,3,3.2,74,0,0.7000000000000001,0.625,0.6000000000000001,574,0.8496767486742893,0.8453982394198281,"(9600, 22)","(2400, 22)",0.004278509254461271,0.04809193187583609
4,13,0,1,1,1,1,1,0,1,1,0.95,0.48,0.198,3,1.9,76,0,0.25,0.905,0.6000000000000001,440,0.8403893292708093,0.8355153930258485,"(9580, 22)","(2400, 22)",0.004873936244960797,0.051294956590229764
4,14,0,1,1,0,1,1,0,1,1,0.8,0.42,0.196,3,5.4,71,0,0.425,0.185,0.75,591,0.8171871853470324,0.8167288478408165,"(9560, 17)","(2400, 17)",0.0004583375062159334,0.05516468065024144
4,15,0,1,1,1,1,1,0,1,1,0.75,0.725,0.228,3,8.6,71,0,0.52,0.09,0.7000000000000001,415,0.8187559670531206,0.8120930861633119,"(9540, 22)","(2400, 22)",0.00666288088980871,0.05903722650692991
4,16,1,1,1,1,1,1,0,1,1,0.8500000000000001,0.435,0.28600000000000003,3,2.8000000000000003,64,0,0.98,0.13,0.75,539,0.8043236680493511,0.8006503312178076,"(9520, 23)","(2400, 23)",0.003673336831543472,0.0612742353672751
4,17,0,1,1,0,1,1,0,1,1,0.8,0.39,0.22,3,8.8,69,0,0.84,0.475,0.65,428,0.7881833998567306,0.7843618946333258,"(9520, 17)","(2380, 17)",0.0038215052234047424,0.06622003369936415
4,18,1,1,1,0,1,0,0,1,1,1.0,0.045,0.294,3,2.7,67,0,0.845,0.21,0.6000000000000001,420,0.7874562579052073,0.7722436464099571,"(9500, 17)","(2380, 17)",0.015212611495250215,0.07441195067511294
4,19,0,1,1,1,1,0,0,1,1,0.9,0.325,0.29100000000000004,3,8.6,65,0,0.1,0.23,0.6000000000000001,584,0.7760185377590683,0.7608810723590794,"(9480, 21)","(2380, 21)",0.015137465399988838,0.0777906644522717
4,20,0,1,1,1,1,1,0,1,1,0.8500000000000001,0.0,0.249,3,1.9,67,0,0.645,0.325,0.8,148,0.7668065532314674,0.7489510581235514,"(9460, 22)","(2380, 22)",0.017855495107915953,0.08245688060610094
