Split,,Split 1,Split 1,Split 10,Split 10,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,,,,,,,,,,,,,
Yemen,19,27.296080538235184,19.0013898855,20.27788413315065,17.5163393585,21.450819877092712,20.2383559285,22.68816941842454,14.975961088500004,27.576716974748734,54.599775663,44.25084144037605,41.175046523,16.250164799273055,21.887519918499997,23.640174999870673,16.509856750500003,21.70499930614209,22.751838292000002,8.648207433964705,16.062720889500007
Yemen,20,25.65160147379742,19.101355307,21.76638266513703,19.27783608800001,21.516539406190667,19.481871266499997,22.5288863310698,14.874884749500001,26.654715059073794,59.55797883299999,45.11401525887829,44.135296665,17.94556248910461,25.23812631350001,27.045095725393537,17.996606529000008,22.03588781065066,24.166012262000006,11.482123870748055,19.811377637999996
Yemen,21,26.379280606844123,19.792605983999998,24.96300699355279,21.390588342000004,23.578180974234446,20.395384129999993,25.799959207301082,17.616050476999995,30.14972005774045,67.6792113965,48.703155294068075,49.43052094849999,16.38800200301432,25.584297136500002,30.269876485551322,19.611444357499998,24.59554526468954,27.907827321999992,12.40078259411057,20.943638050500002
Yemen,22,32.927612900766235,24.023073403999987,25.049587531333184,20.362349296500007,24.125623316898164,21.6669950785,29.707075016967355,20.506143317,30.0040516739382,75.45007427150001,56.25801187544768,55.997613447999996,16.747743209229846,24.614510006500005,26.972962135499568,19.5778239555,24.322347868238666,26.878321189999998,12.874911849464578,20.386044160000008
Yemen,23,35.03137749206116,23.955452879,24.08100437832665,18.019676622500008,23.538820438032705,21.119679312499994,32.75018747790162,23.214935532500004,35.77447406074337,92.76359425250001,64.76775265716788,63.034183017,20.546503278606785,30.25276634949999,23.931913376326047,19.378808133000014,23.546136987116753,26.66852455800001,11.588674765766747,19.645055068999994
Yemen,24,49.1411196951033,29.809195613999993,22.506085299511987,16.941993970000006,25.07226638595504,23.510435536999992,34.23792592025582,26.028942359999995,36.215378953099915,101.288955732,65.11851537066207,63.120024117499995,21.61691759354867,31.775759459499987,21.939465721486286,18.769897457499997,23.776346098640822,26.6476849065,13.107844451960375,21.402962787999993
Yemen,25,49.43857828756125,27.647201837999994,20.842859135876985,15.473460074499997,23.61018643230488,24.2918397015,29.41015473697999,22.4607940485,38.02635336691951,111.122620618,67.67301727692038,65.129760143,20.752980109193548,31.413025032499995,22.56049735707893,19.353845163499994,25.553192639545465,28.942654090999998,14.934157041453847,24.667949784500014
Yemen,26,51.60876579227305,31.070009533,23.157271617766924,16.5286180455,22.216386464300292,26.254988370999985,28.592284041519225,21.04715234600001,38.05582585013637,108.50154381700001,69.56162124141602,69.12584160649999,21.57034741060931,32.482337731,21.199630739042608,16.922533593000004,25.39911598897327,28.6282403455,14.367244326967116,26.67912331650001
Yemen,27,54.20280612049318,33.381342916,21.782678097684872,16.539556335,22.91224628849567,27.54114962349999,29.06674526469542,21.63175218,46.13943400065898,115.57530606649998,72.10597376885659,71.3334182435,24.28217169263594,35.05833437899999,22.23719989964848,18.029964804500004,24.432877871528248,28.031584088000006,17.087988410430917,26.66678707700002
Yemen,28,58.946375264887344,38.508346622999994,19.996140553424574,15.999973095500001,27.64238884664565,31.484035696999996,28.49920226886338,20.998657391999995,47.12896253218581,108.75343300649999,71.12564361843438,70.42752157750002,22.50825074721103,35.505885557499994,28.56768917545019,21.573587964500014,27.568483823752835,30.027273670500005,20.355614706702173,28.495193084500006
Yemen,29,51.6977231948703,38.65507862399999,20.403767614472322,16.1958223695,34.838802699216615,35.22544042249999,32.41001455902283,24.344329712500006,52.917608866485374,101.77827589399999,74.70493626216508,70.81952157799999,17.680608605719563,30.055870315,41.42744589712929,24.102111239000003,28.903514531235878,33.070053701999996,20.907619438862262,30.217036243000006
Yemen,30,43.82234887511491,38.536769877999994,25.235146872714914,20.185797412000003,44.547423523778576,38.186283653999986,36.62066296210884,26.32006089050001,72.09878138835964,98.42446485949999,77.11843471457527,70.42247457799999,21.51286825170923,35.42742890199999,68.48706418901571,28.378923212000007,31.56102142403974,35.199676207,21.085878926415266,28.370940969000014
