AdminStrata,Agadez,Agadez,Agadez,Agadez,Agadez,Diffa,Diffa,Diffa,Diffa,Diffa,Dosso,Dosso,Dosso,Dosso,Dosso,Dosso,Maradi,Maradi,Maradi,Maradi,Maradi,Maradi,Niamey,Niamey,Niamey,Niamey,Niamey,Tahoua,Tahoua,Tahoua,Tahoua,Tahoua,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Zinder,Zinder,Zinder,Zinder,Zinder,Zinder
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
Commodity,Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG)
2020-12-31,0.40386666666666665,0.376554,0.8213158,0.34935,0.36817,0.3771,0.35729999999999995,0.767275,0.6694,0.3241,0.3305166666666666,0.3349428571428571,0.7855727142857143,0.5723,0.31516666666666665,0.3347,0.3698444444444444,0.38005649999999996,0.7743244,0.6326,0.3254875,0.3347,0.353525,0.354434,0.7831878,0.3439,0.317965,0.3643875,0.36946666666666667,0.7865333333333334,0.5623,0.3425714285714285,0.37568999999999997,0.3711361538461538,0.8208976153846155,0.5422,0.352425,0.36817,0.36566666666666675,0.34412499999999996,0.772313625,0.7146,0.31930000000000003,0.30123
2021-01-31,0.44975000000000004,0.4200340000000001,0.8199748,0.44015,0.36817,0.41835,0.39912499999999995,0.9635,,0.38365,0.35729999999999995,0.3729528571428572,0.7674298571428572,0.6609999999999999,0.3782,0.3347,0.400375,0.37017350000000004,0.8116139000000002,,0.3428777777777777,0.3347,0.3464,0.4026344,0.8166278,0.391575,0.317965,0.41597142857142855,0.4071571428571429,0.8032571428571428,0.5305,0.3574,0.37746363636363633,0.4059003846153846,0.7521745384615385,0.6386,0.36316,0.376537,0.42242857142857143,0.39122222222222214,0.7863415555555555,,0.35436249999999997,0.30123
2021-02-28,0.457275,0.4599080000000001,0.8199748,0.4623,0.36817,0.42755,0.4263,0.95805,1.0024,0.413325,0.40136666666666665,0.4066528571428572,0.7554727142857143,0.6276,0.409575,0.36817,0.4155666666666667,0.403144,0.8092739,,0.36482222222222227,0.343067,0.376975,0.427088,0.8166278,0.41250000000000003,0.317965,0.41789999999999994,0.45494285714285715,0.7769714285714284,0.6493,0.4076285714285714,0.39145454545454544,0.41581346153846144,0.738913,0.644042857142857,0.38792,0.376537,0.46714285714285714,0.4088822222222222,0.7731265555555557,,0.3761125,0.3347
2021-03-31,0.4602,0.47445250000000005,0.8157935,0.4814,0.40164,0.3615,0.43805000000000005,0.7509750000000001,0.6761,0.3894,0.4261833333333333,0.4317485714285714,0.8109298571428571,0.6376,0.42505999999999994,0.36817,0.4194125,0.39811166666666664,0.7973043333333334,,0.36674285714285715,0.36817,0.386575,0.44046799999999997,0.8166278,0.4301,0.3347,0.43344999999999995,0.44265,0.7670166666666667,0.6543,0.41168333333333335,0.399388888888889,0.40047749999999993,0.7810169,0.5896333333333333,0.38488749999999994,0.359802,0.47328000000000003,0.437834375,0.7932092499999999,0.9589,0.41837142857142856,0.384905
2021-04-30,0.475275,0.48567540000000003,0.8199748,0.47402500000000003,0.410007,0.5146,0.497025,0.9158249999999999,0.9907,0.45352499999999996,0.41168333333333335,0.42173428571428573,0.7554727142857143,0.6276,0.4192,0.384905,0.4167,0.4204155555555556,0.819986,,0.39933749999999996,0.36817,0.38532500000000003,0.44984140000000006,0.8199748,0.428,0.3347,0.4579125,0.4740125,0.7948875,0.6543,0.4438875,0.40616,0.4472508333333334,0.7396890833333333,0.6384500000000001,0.40132727272727264,0.376537,0.4707428571428571,0.42934911111111107,0.7714637777777776,,0.40163750000000004,0.384905
2021-05-31,0.48407500000000003,0.497016,0.8199748,0.492,0.460212,0.5079,0.498275,0.9066,1.051,0.46565,0.41809999999999997,0.44443928571428565,0.753082,0.6276,0.416275,0.418375,0.44766249999999996,0.4336194444444445,0.8131082222222223,,0.4183625,0.384905,0.4117,0.4789684,0.8199748,0.4322,0.376537,0.4819625,0.48051249999999995,0.7844374999999999,0.6459999999999999,0.452275,0.43193000000000004,0.4670314166666667,0.7507140833333333,0.6941799999999999,0.4239,0.40164,0.4803,0.43120855555555554,0.7731415555555555,,0.401425,0.40164
2021-06-30,0.48407500000000003,0.49367600000000006,0.8199748,0.492,0.460212,0.47303333333333336,0.509575,0.901575,,0.45602499999999996,0.41809999999999997,0.4511107142857143,0.7530819999999999,0.6276,0.416275,0.418375,0.44766249999999996,0.4457083333333334,0.8131082222222223,,0.41836249999999997,0.40164,0.4117,0.480642,0.8166278,0.4322,0.35143500000000005,0.4819625,0.4972375,0.7844374999999999,0.6459999999999999,0.452275,0.43360999999999994,0.46411208333333337,0.7576807499999999,0.60415,0.42507,0.36817,0.4803,0.4488716666666667,0.775001,,0.401425,0.418375
2021-07-31,0.499125,0.5037360000000001,0.8199748,0.474425,0.460212,0.5397,0.55185,0.9044999999999999,,0.5217,0.47469999999999996,0.4805345714285715,0.7554677142857144,0.7029,0.45267499999999994,0.418375,0.4966125,0.45686022222222217,0.818874888888889,,0.47171250000000003,0.40164,0.47655000000000003,0.48130200000000006,0.8166278,0.48322500000000007,0.36817,0.5077125,0.526525,0.7844375000000001,0.7815,0.5068625,0.46674999999999994,0.4758768181818182,0.7535335454545454,0.7678666666666668,0.4453625,0.410007,0.5118428571428572,0.4670977777777778,0.7696193333333332,,0.46144999999999997,0.46858000000000005
2021-08-31,0.5277333333333334,0.5281560000000001,0.8199748,0.530075,0.46858000000000005,0.5714999999999999,0.5606249999999999,0.951775,0.7614,0.5347000000000001,0.5034333333333333,0.5063449999999999,0.7621677142857143,0.6376,0.4698,0.485315,0.5223375,0.4845791111111111,0.8026971111111111,,0.4922125,0.451845,0.5263249999999999,0.4983624000000001,0.8166278,0.494925,0.43511000000000005,0.5311375,0.535075,0.7844374999999999,0.7849,0.5158499999999999,0.49752,0.5028733333333334,0.7614474166666666,0.7876666666666666,0.4762700000000001,0.426742,0.5532142857142857,0.5033577777777778,0.7828082222222221,,0.499325,0.53552
2021-09-30,0.5500333333333334,0.5441969999999999,0.8199748,0.53845,0.50205,0.5539499999999999,0.523375,0.90575,,0.502875,0.48475,0.48268785714285717,0.7741248571428571,0.6694,0.461875,0.485315,0.46229999999999993,0.43193444444444445,0.8034487777777779,,0.43803749999999997,0.418375,0.49997499999999995,0.493009,0.8199748,0.492425,0.43511000000000005,0.51585,0.5141749999999999,0.7948999999999999,0.6677,0.4903125,0.51224,0.5020483333333333,0.7689640833333334,0.743,0.49435,0.451845,0.5309857142857143,0.4851355555555555,0.7829971111111111,,0.4758875,0.493682
2021-10-31,0.5171,0.49468300000000004,0.8032547999999998,0.5310666666666667,0.485315,0.4351,0.392025,0.87145,,0.425075,0.4047,0.3937392857142857,0.7769820000000001,0.6694,0.447675,0.485315,0.37861249999999996,0.33283,0.7978748888888888,,0.41391666666666665,0.384905,0.474875,0.457181,0.8166278,0.4761,0.376537,0.4576875,0.44158749999999997,0.7844374999999999,0.6409999999999999,0.4371875,0.47494999999999993,0.44165374999999996,0.7628224166666665,0.7534000000000001,0.4459000000000001,0.451845,0.43917142857142855,0.39866444444444443,0.7982415555555554,,0.4255428571428571,0.485315
2021-11-30,0.532575,0.502703,0.8199748,0.518375,0.485315,0.3654,0.36315,0.8346750000000001,,0.3397333333333334,0.38518333333333327,0.4056864285714286,0.7769820000000001,0.6694,0.415875,0.376537,0.37465,0.3748711111111111,0.8159082222222221,,0.36845,0.36817,0.374875,0.467229,0.8166278,0.45812499999999995,0.376537,0.42130000000000006,0.42234999999999995,0.7844374999999999,,0.3985,0.46005,0.4670566666666667,0.7654890833333332,0.7617800000000001,0.4690125,0.443477,0.40691428571428584,0.38470111111111105,0.8021526666666667,,0.38072500000000004,0.418375
2021-12-31,0.5308999999999999,0.498703,0.8199748,0.48905000000000004,0.485315,0.3720666666666666,0.4029,0.894925,,0.416675,0.40470000000000006,0.4195581428571429,0.7745912857142857,0.6175,0.4142,0.418375,0.40245000000000003,0.38266722222222216,0.8015971111111111,,0.3541625,0.384905,0.412525,0.483302,0.8166278,0.473175,0.384905,0.43057142857142855,0.4528,0.7769714285714286,0.6694,0.38799999999999996,0.4695222222222223,0.5026618181818182,0.753979,0.6002,0.47213333333333335,0.7698090000000001,0.4384571428571428,0.4222866666666667,0.7988043333333334,,0.3570749999999999,0.418375
2022-01-31,0.5443,0.513763,0.8199748,0.500375,0.485315,0.3877,0.41835,0.86185,,0.42174999999999996,0.40945000000000004,0.43272499999999997,0.7745912857142857,0.6443,0.41545000000000004,0.40164,0.4591750000000001,0.4192861111111111,0.7906154444444444,,0.4003875,0.418375,0.4305,0.48730899999999994,0.8166278,0.47609999999999997,0.40164,0.48101428571428567,0.4719285714285714,0.7800714285714285,0.6978,0.4265142857142857,0.4775111111111111,0.52198,0.7693517272727273,0.777775,0.48271111111111104,0.43511000000000005,0.4898571428571428,0.44701277777777787,0.8002821111111111,,0.39326249999999996,0.43511000000000005
2022-02-28,0.5634,0.5455625,0.8088246666666666,0.5427666666666666,0.50205,0.39769999999999994,0.43135,0.8719,,0.371925,0.44416,0.48391283333333335,0.7921065,0.6694,0.4563,0.451845,0.45469999999999994,0.43490962499999997,0.805142375,,0.421,0.43511000000000005,0.4786250000000001,0.5141030000000001,0.8166278,0.48115,0.418375,0.50595,0.5254833333333333,0.7879166666666665,0.6509999999999999,0.4730666666666667,0.5189777777777779,0.5647318181818182,0.7664608181818182,0.78615,0.5266,0.43511000000000005,0.5140142857142858,0.480465,0.8077265555555555,,0.4409875,0.46858000000000005
