,Al-Hasakeh,Aleppo,As-Sweida,Damascus,Dar'a,Hama,Homs,Lattakia,Rural Damascus,Tartous
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2019-02-08,27.14877400484239,34.01131508083047,15.366587770839297,19.644718831955277,31.623129483312702,29.306002569497984,31.226149605770235,21.367621977647882,31.665634402081356,25.18576094381615
2019-02-09,26.231092085575025,33.587973496795826,15.065135301677229,19.269981697776455,31.476562310793376,29.527057376556613,31.15587816132673,21.16258062218332,31.216636538933205,25.584041550073298
2019-02-10,25.402453662011553,33.258298227982934,14.816305843714229,18.89308846546712,31.312260549862977,29.7469214272531,31.19277220751603,21.074753548413586,30.791073795374295,25.97040148744995
2019-02-11,24.68071302821107,33.0161509555723,14.638593539168701,18.515243312786225,31.149335860278807,29.949873724744375,31.34409393893156,21.127834299272905,30.401890765046556,26.34110672216362
2019-02-12,24.064255493211036,32.85387752596918,14.52884016928981,18.140991909337533,30.991489294549574,30.13456529935764,31.58307608687342,21.302821803916498,30.051026249101778,26.695042173367955
2019-02-13,23.546599119793484,32.76344482688504,14.478474425084407,17.775715297685988,30.83856925337185,30.303240188212648,31.874444016818387,21.57004133805485,29.737667600569196,27.031747498450684
2019-02-14,23.1212619707405,32.73681974603131,14.47892499755936,17.424794520396546,30.690424137442196,30.45814242842919,32.18292309424324,21.899818177398423,29.46100217247808,27.350762354799517
2019-02-15,22.781762108834126,32.765969171119444,14.521620577721528,17.093610620034163,30.54690234745719,30.60151605712704,32.47323868462478,22.262477597657707,29.220217317857674,27.651626399802137
2019-02-16,22.521617596856427,32.84285998986089,14.597989856577774,16.787544639163794,30.407852284113396,30.735605111425965,32.71011615343977,22.628344874543174,29.014500389737233,27.933879290846285
2019-02-17,22.334346497589447,32.95945908996709,14.699461525134947,16.511977620350383,30.273122348107375,30.862653628445724,32.85828086616498,22.967745283765304,28.843038741145993,28.197060685319656
2019-02-18,22.21346687381525,33.1077333591495,14.81746427439991,16.2722906061589,30.142560940135706,30.9849056453061,32.882458188277205,23.251004101034567,28.705019725113218,28.440710240609956
2019-02-19,22.152496788315897,33.27964968511955,14.94342679537953,16.073864639154287,30.016016460894946,31.104605199126873,32.75988677977809,23.456307223181316,28.59963069466815,28.664367614104904
2019-02-20,22.14495430387344,33.46717495558871,15.068777779080657,15.922080761901498,29.893337311081673,31.2239963270278,32.51785847876875,23.59328303151536,28.52605900284004,28.867572463192204
2019-02-21,22.18435748326993,33.66227605826841,15.184945916510152,15.82232001696549,29.774371891392445,31.34532306612865,32.1961784178752,23.679420528466412,28.48349200265815,29.049864445259562
2019-02-22,22.264224389287442,33.8569198808701,15.283359898674885,15.779963446911214,29.65896860252384,31.47082945354921,31.834651729723443,23.73220871646415,28.471117047151722,29.210783217694694
2019-02-23,22.37807308470802,34.043073311105246,15.355448416581703,15.800392094303625,29.546975845172426,31.602759526409248,31.473083546939467,23.769136597938274,28.488121489350004,29.349868437885306
2019-02-24,22.51942163231373,34.212703236685265,15.392640161237477,15.888987001707678,29.43824202003477,31.74335732182854,31.151279002149277,23.807693175318466,28.533692682282243,29.46665976321911
2019-02-25,22.681788094886603,34.35777654532163,15.38636382364905,16.051129211688323,29.332615527807437,31.89486687692683,30.909043227978877,23.865367451034427,28.60701797897771,29.560696851083808
2019-02-26,22.858690535208723,34.470260124725755,15.328048094823297,16.292199766810516,29.229944769186993,32.05953222882392,30.786181357054247,23.959648427515845,28.707284732465638,29.63151935886711
2019-02-27,23.044455054549015,34.54414905115119,15.212151204607437,16.615172601334244,29.13001682278414,32.23760737720643,30.8098770478979,24.08641862712009,28.833288061973988,29.67866694395674
2019-02-28,23.236639908123877,34.581551155019646,15.045249538210138,17.01339321629962,29.032373478866113,32.42138617202833,30.95682806261822,24.15513465191522,28.982254151525584,29.701679263740395
2019-03-01,23.433611389636596,34.58660245529491,14.836949019680436,17.47780000444179,28.936495205614264,32.601172425810496,31.19111068922014,24.053646623896984,29.151016951341926,29.70009597560577
2019-03-02,23.63373579279044,34.56343897094081,14.596855573067364,17.999331358495898,28.841862471209968,32.767269951073764,31.47680121570855,23.669804665061122,29.336410411644554,29.67345673694061
2019-03-03,23.8353794112887,34.51619672092112,14.334575122419961,18.5689256711971,28.747955743834574,32.909982560339,31.777975930088353,22.950750060694535,29.535268482654978,29.621301205132596
2019-03-04,24.036908538834645,34.449011724199664,14.059713591787261,19.177521335280538,28.65425549166945,33.01961406612704,32.05871112036444,22.080788749248832,29.744425114594723,29.543169037569452
2019-03-05,24.23668946913157,34.3660199997402,13.781876905218294,19.816056743481358,28.56024218289595,33.086468280958734,32.283083074541736,21.303517832466788,29.960714257685307,29.438599891638873
2019-03-06,24.433088495882743,34.27135756650655,13.5106709867621,20.4754702885347,28.465396285695444,33.10084901735493,32.41516808062512,20.86253441209118,30.180969862148245,29.307133424728583
2019-03-07,24.62419218372349,34.16916044346251,13.258166187942825,21.14670036317573,28.36919826824929,33.055907985952935,32.428680836738806,20.942696990479124,30.402025878205073,29.148309294226287
2019-03-08,24.80696818101732,34.06356464957187,13.046290570185073,21.820685360139574,28.271128598738855,32.956188489855926,32.335889681484126,21.493909672445167,30.62071625607731,28.961667157519685
2019-03-09,24.978104407059785,33.958706203798435,12.89943662238857,22.488363672161388,28.170667745345483,32.80908173028349,32.15870136358171,22.407337963418197,30.83387494598646,28.746746671996497
2019-03-10,25.134288781146456,33.858721125106015,12.841996833453036,23.14067369197632,28.067296176250565,32.621978908455254,31.91902263175225,23.574147368827095,31.038335898154052,28.50308749504443
2019-03-11,25.272209222572872,33.767745432458376,12.89836369227819,23.76855381231952,27.960494359635426,32.402271225590844,31.63876023471634,24.885503394100773,31.23093306280161,28.23022928405119
2019-03-12,25.388553650634588,33.68991514481933,13.092929687763753,24.36294242592613,27.849742763681455,32.15734988290987,31.339820921194644,26.232571544668094,31.408500390150664,27.927711696404494
2019-03-13,25.480009984627173,33.62936628115268,13.450087308809447,24.914777925531297,27.734521856570005,31.894606081631963,31.044111439907795,27.506517325957972,31.567871830422717,27.595074389492034
2019-03-14,25.543266143846164,33.590234860422214,13.994229044314988,25.414998703870157,27.614312106482437,31.62143102297671,30.773538539576432,28.59850624339929,31.705881333839294,27.23185702070154
2019-03-15,25.576509416251806,33.57457568021066,14.736382790483281,25.85648517968496,27.488587847611957,31.34446551236336,30.54561380589735,29.423967514685117,31.82013824165007,26.84110646545012
2019-03-16,25.583924564463082,33.576118652576454,15.634118072729912,26.239885875746218,27.35679887819915,31.06734877200959,30.360268172471976,29.995385206565295,31.911353459217242,26.439898471272524
2019-03-17,25.571195719763626,33.58651246819694,16.631639823773654,26.56779134083156,27.21838886249644,30.79296962833268,30.213037409877874,30.34950709805384,31.98101328293118,26.048816003732924
2019-03-18,25.544007013437096,33.59740581774948,17.673152976333267,26.842792123718592,27.072801464756253,30.524216907749928,30.099457288692623,30.523080968164763,32.03060400918225,25.68844202839548
2019-03-19,25.508042576767142,33.60044739191144,18.702862463127527,27.067478773184924,26.91948034923104,30.263979436678618,30.015063579493763,30.55285459591208,32.06161193436081,25.37935951082435
2019-03-20,25.468986541037424,33.587285881360174,19.664973216875186,27.24444183800817,26.757869180173202,30.01514604153603,29.955392052858898,30.475575760309802,32.07552335485722,25.137198028475698
2019-03-21,25.432523037531585,33.54956997677302,20.503690170295027,27.376271866965958,26.587411621835177,29.780605548739466,29.915978479365577,30.327992240371955,32.07382456706184,24.957773606373724
2019-03-22,25.40433619753327,33.47894836882735,21.163218256105814,27.46555940883589,26.4075513384694,29.56324678470621,29.892358629591385,30.146851815112555,32.05800186736503,24.831948881434602
2019-03-23,25.390110152326148,33.367069748200514,21.587762407026315,27.514895012395566,26.217731994328297,29.365958575853544,29.88006827411388,29.968902263545626,32.02954155215715,24.750586490574523
2019-03-24,25.395529033193867,33.20558280556988,21.743203613497922,27.526869226422637,26.017397253664285,29.191629748598764,29.87464318351064,29.823535662931835,31.989929917828555,24.707253534184705
2019-03-25,25.426276971420066,32.9861362316128,21.682127096852565,27.50407259969468,25.805990780729815,29.043149129359154,29.87161912835923,29.71072128351853,31.94065326076961,24.70633496655641
2019-03-26,25.488038098288406,32.700378717006615,21.47879413614478,27.449095680989323,25.58295623977729,28.923405544552,29.86653187923722,29.623072693799692,31.883197877370684,24.754920205455957
2019-03-27,25.586496545082547,32.3399589524287,21.207466010429123,27.364529019084173,25.347737295059147,28.835287820594605,29.854917206722174,29.553203462269316,31.81905006402212,24.860098668649627
2019-03-28,25.727336443086124,31.89652562855641,20.942403998760142,27.252963162756856,25.099777610827832,28.781684783904232,29.832310881391685,29.493727157421418,31.749696117114294,25.02895977390373
2019-03-29,25.916241923582803,31.361727436067095,20.75786938019238,27.116988660784976,24.83852085133575,28.7654852608982,29.7942486738233,29.437257347749973,31.676622333037557,25.26859293898457
2019-03-30,26.15889711785622,30.727213065638114,20.728123433780393,26.959196061946148,24.563410680835343,28.789578077993763,29.736266354594594,29.376407601748998,31.60131500818227,25.586087581658436
2019-03-31,26.46098615719005,29.984631207946826,20.927427438578725,26.782175915017984,24.273890763579033,28.856852061608244,29.653899694283147,29.303791487912473,31.52526043893879,25.98853311969163
2019-04-01,26.8266519805303,29.136862730697747,21.406156478158792,26.5885187687781,23.97009309163248,28.967741993131888,29.544033834726857,29.20816466639866,31.449944921697494,26.475293258204704
2019-04-02,27.25387275747254,28.23171720970405,22.11914085415944,26.38081517200411,23.654902968314225,29.11286647384685,29.408951402804988,29.06285116402286,31.37685475284872,27.014828851735146
2019-04-03,27.7390854652747,27.328236397806073,22.997324672736397,26.161655673473625,23.33189402475606,29.280390060008305,29.252284396657135,28.837317099264638,31.307476228782843,27.567875042174723
2019-04-04,28.27872708119472,26.48546204784416,23.97165204004538,25.933630821964258,23.004639892089752,29.45847730787137,29.0776648144229,28.501028590603557,31.243295645890218,28.095166971415193
2019-04-05,28.86923458249053,25.754854232290683,24.97306706224211,25.69933116625363,22.676714201447076,29.635292773691212,28.888724654241884,28.023451756519176,31.185799300561207,28.557439781348283
2019-04-06,29.50704494642008,25.157546302146113,25.932513845482294,25.46134725511935,22.351690583959826,29.79900101372296,28.68909591425369,27.374052715491054,31.136473489186173,28.91542861386577
2019-04-07,30.18859515024128,24.70708992804297,26.780936495921665,25.222269637339018,22.033142670759755,29.937766584221762,28.482410592597905,26.52229758599877,31.096804508155465,29.12986861085939
2019-04-08,30.91032217121208,24.417036780613763,27.449279119715925,24.98468886169027,21.724644092978664,30.039754041442762,28.272300687414138,25.43765248652187,31.068278653859455,29.161494914220903
2019-04-09,31.666066562236256,24.292493950449146,27.886512700118676,24.7511954769507,21.429768481748315,30.096453548800408,28.06239819684199,24.126880558865075,31.052382222688497,28.985949188050267
2019-04-10,32.43928317880089,24.30479020797219,28.113715728775023,24.52438003189793,21.152089468200487,30.112657698346357,27.856335119021043,22.745933038133717,31.05060151103295,28.63849918528033
2019-04-11,33.210830452038934,24.416809743564137,28.169993574427945,24.306833075309584,20.895180683466954,30.09648468929157,27.657743452090912,21.4880581827583,31.064422815283187,28.169319181052153
2019-04-12,33.961566813083316,24.59143674760619,28.094451605820403,24.101145155963255,20.662615758679507,30.05605272084702,27.470255194191196,20.54650425116931,31.095332431829554,27.62858345050677
2019-04-13,34.67235069306697,24.791555410479567,27.926195191695385,23.90990682263657,20.45796832496991,29.999479992223662,27.297502343461485,20.059538084142126,31.144816657062414,27.06646626878527
