split,h,1 Month Anomaly Rainfalls (%),Code,Day,FCG,Fatalities,Month,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
4,8,0,1,1,1,1,1,1,1,0,0,1,1,0.8,0.8150000000000001,0.284,3,2.1,70,0,0.17,0.745,0.8,597,0.9025189060068796,0.902389424188084,"(9660, 24)","(2420, 24)",0.0001294818187955,0.029334965471093
4,9,0,1,1,1,1,1,0,1,0,0,1,1,0.9,0.725,0.15,3,6.6000000000000005,86,0,0.33,0.665,0.65,163,0.8914128557452075,0.8893004383201785,"(9640, 23)","(2420, 23)",0.0021124174250289,0.034054835473958
4,10,0,1,1,1,0,1,1,1,1,0,1,1,0.8,0.32,0.221,3,8.6,73,1,0.995,0.025,0.6000000000000001,266,0.881687077094524,0.8795982325137888,"(9620, 27)","(2420, 27)",0.0020888445807352,0.0369560680781574
4,11,0,1,1,1,0,1,0,1,0,0,1,1,0.95,0.755,0.232,3,3.1,70,1,0.42,0.49,0.95,416,0.8686207716003684,0.8636749054219376,"(9600, 25)","(2420, 25)",0.0049458661784308,0.042875874844791
4,12,0,1,1,1,1,1,0,1,0,0,1,1,0.9,0.89,0.276,3,3.1,67,1,0.845,0.27,0.6000000000000001,541,0.8580846843962783,0.8546966210778238,"(9600, 30)","(2400, 30)",0.0033880633184544,0.0449462390040346
4,13,0,1,1,1,0,1,0,1,0,0,1,1,0.6000000000000001,0.7000000000000001,0.3,3,4.7,69,1,0.39,0.315,0.65,433,0.8527597316787325,0.8470865432400315,"(9580, 25)","(2400, 25)",0.005673188438701,0.0481433124034709
4,14,0,1,1,1,0,1,0,1,0,0,1,1,0.9,0.18,0.177,3,8.5,82,1,0.35,0.81,0.8,590,0.8489347285113087,0.8374657593273522,"(9560, 25)","(2400, 25)",0.0114689691839564,0.0533478598753769
4,15,0,1,1,1,0,1,0,1,0,0,1,1,0.75,0.99,0.262,3,7.0,70,0,0.8250000000000001,0.425,0.6000000000000001,402,0.8341646805694616,0.8274820402720509,"(9540, 18)","(2400, 18)",0.0066826402974107,0.054428444037349
4,16,1,1,1,1,0,1,0,1,0,0,1,1,0.75,0.525,0.3,3,8.700000000000001,65,0,0.635,0.875,0.65,321,0.8229899867873189,0.8156521441728108,"(9520, 19)","(2400, 19)",0.007337842614508,0.0582394937939599
4,17,0,1,1,1,1,1,0,1,0,0,1,1,0.8,0.41,0.236,3,3.3000000000000003,73,1,0.045,0.87,0.8,422,0.8286900861968058,0.8128197266603774,"(9520, 30)","(2380, 30)",0.0158703595364284,0.0625022258164581
4,18,0,1,1,1,1,1,0,1,0,0,1,1,1.0,0.475,0.208,3,4.1000000000000005,79,1,0.56,0.485,0.95,415,0.8309947725107141,0.8094329158793208,"(9500, 30)","(2380, 30)",0.0215618566313933,0.0657948678887611
4,19,0,1,1,1,0,1,0,1,0,1,1,1,0.8500000000000001,0.075,0.199,3,5.0,78,0,0.845,0.43,0.7000000000000001,474,0.8137877910683238,0.7969641528465319,"(9480, 19)","(2380, 19)",0.0168236382217918,0.0676402094347571
