AdminStrata,Damascus,Aleppo,Rural Damascus,Homs,Hama,Lattakia,Idleb,Al-Hasakeh,Deir-ez-Zor,Tartous,Ar-Raqqa,Dar'a,As-Sweida,Quneitra
Indicator,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
2018-05-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
