,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-07-22,23.17918486399192,14.544946661975148,12.930863739010595,28.998350354602106,26.47518258228168,26.722865126587546,23.820163141766432,25.195735062280495,23.5325289910123
2019-07-23,23.920288363005866,14.585895303083747,12.828526362814385,28.70394180765489,27.714547228478832,28.248828827962843,25.028434080367315,25.01628485100707,23.62832472942522
2019-07-24,24.661611645911325,14.591679081365816,13.530369249628182,28.539635789055684,28.307241116688175,29.901557986526303,25.96768609010957,24.55689081856136,23.507791961636002
2019-07-25,24.669505298091483,14.374300339730027,14.328103359797474,27.836365761601304,29.73678159646109,29.466971719702894,27.120092827453902,25.049642582607802,23.843003819795722
2019-07-26,24.593153675449088,14.020046083113265,15.881610466148125,27.71781478068151,30.46380289412309,28.71602059298355,28.970482560359454,26.46434790895859,24.679246160620334
2019-07-27,24.755527701306757,13.523791702879244,17.562702068265875,28.331685617059204,31.115804593025956,27.070977346143895,31.026222351924734,28.32197271746539,24.628350843136477
2019-07-28,24.163080089849263,13.30467483648989,18.628128959086165,28.377892388635658,30.208094347778864,25.869342121933567,31.087373802875586,28.647646977742948,23.759415945562434
2019-07-29,23.363936435699447,14.077555660672258,18.43647905798968,28.68765985136911,29.59081884061442,24.61650267769816,30.29487167060354,29.108046558704444,22.64450481793754
2019-07-30,22.939835954548766,14.924820340288306,18.02571629417275,28.99439338360447,29.367260137722116,23.915909366384067,29.47130766604593,29.53284560835361,22.02255205889894
2019-07-31,23.242012178449205,16.434139627591616,18.10568512544792,29.696055282611056,29.924668553523755,24.224939330603945,29.872132524360712,31.361659018920573,22.27557612401453
2019-08-01,23.736226926771153,16.736088012813116,18.639630989419558,29.481952785276633,30.17123006022251,24.197266407262266,30.155001264524014,31.673032381742775,22.7164702464259
2019-08-02,23.56024276428371,17.226120936958427,19.006287453692362,29.933850942012814,30.9980133194382,23.68944902786751,30.457861452637683,32.835443400622864,23.660019398357164
2019-08-03,23.54474235038737,17.273336213972083,18.832254813948694,30.42751286028818,32.10431653755881,22.98782182661805,30.732483667661032,33.68402864072161,24.424464572085935
2019-08-04,23.009006445126133,17.151807789973216,19.55130166196251,33.2616443684935,34.77668302812865,22.44002392941698,32.53811486085505,34.799804762786515,24.76284745509369
2019-08-05,23.17177125812124,16.750008154516774,20.25471175555322,35.43193632951461,36.28754223059865,22.724970619310323,34.314158868646324,35.25190224343322,24.33873246820365
2019-08-06,23.192792435478747,16.40797286404638,21.937515057822022,37.57837558833584,37.917964690611505,22.46902091334566,36.1342949019117,35.87880534212568,23.2777012447329
2019-08-07,23.265312490242906,16.41031102136168,22.69779487492661,37.504471126074314,37.542284254320045,22.075918962990055,36.443888188478425,36.191121802999994,21.70164219008585
2019-08-08,23.669209518833608,16.66659755393682,25.039138840121954,38.22857442970146,38.31773498064701,22.118170094163546,37.8246588641434,36.82868785561374,20.890585034925675
2019-08-09,24.47642549021805,16.873154513708517,26.913079238720456,39.42437423703729,38.9910525589903,22.628132625992436,39.15534567526978,37.33851838874668,20.652730983986018
2019-08-10,24.514998262107202,17.01918009174756,28.577263230939096,40.89675745694549,39.86840681538245,23.526306246993737,40.205996942747895,38.42390257431933,20.67125326142191
2019-08-11,24.39071138551586,17.15251376146354,28.71696522678516,41.62887174810654,40.43152026254993,23.984391572597204,40.49769606066883,38.4630024370496,20.212340917013197
2019-08-12,23.03989147377445,16.852146297735,28.66363574699397,41.08836749835441,39.63612985162669,24.566621590186113,41.415607326363954,37.9985108766482,21.413551180361576
2019-08-13,22.403334216958825,16.820842019340432,28.790475580385316,41.279354222029006,40.00455022951112,26.291156078429026,43.80245863631172,36.63720536534847,23.20210219337493
2019-08-14,21.28362368132478,16.4033327830175,29.77757247013082,41.50465887567797,40.931927835899025,27.18644546224174,46.55980735058069,36.22675623301574,24.977866706542205
2019-08-15,20.39448347779869,16.03097673131362,31.354215339202298,42.574415986853474,41.678308575805765,27.058223651707134,47.4002085701057,35.8105925096523,24.75805582981575
2019-08-16,19.591781879718933,15.357779215013357,32.97252940689197,43.109785469646205,41.8197438407828,26.008439996849642,47.1995599283488,36.13319793955788,24.498435625218008
2019-08-17,19.001555818916984,14.934452632199848,34.39915407087745,44.03449133158441,41.37035178979976,25.637744720270543,46.83255871853108,36.241945145153636,24.61506106007199
2019-08-18,17.829229889344052,14.413491296741242,34.57931728093058,47.16177858652534,44.28409536302141,27.138271657254023,47.79064750549199,36.65566763724387,23.196926319884614
2019-08-19,16.657766045436734,14.380351834474267,34.58384165232843,51.21261490482706,47.20236099858636,29.13630240094234,49.42011809346602,37.04320435890609,21.6985959842285
2019-08-20,14.566926392929547,14.071939456241319,33.33638724720868,53.949675208991884,49.22410046248627,30.969043015619377,50.79643657345179,36.42854689752286,19.492074585081767
2019-08-21,13.499834582310159,14.42544995925041,33.374902110537626,54.81646914657886,48.543157802743075,31.77140763168741,51.47928338964487,35.03743220050587,18.3358108320319
2019-08-22,12.182995333601653,14.91855432584677,33.224745060773984,54.98403452590645,48.34565414668834,31.44477927037137,51.12845281247123,34.57389687589727,17.828999230642633
2019-08-23,11.51099834394332,15.692784539695959,34.08255031184822,56.00879218614284,48.45332294966111,31.175256192313114,50.33328819241754,34.722161309875986,17.55536320586054
2019-08-24,10.575811176649976,15.915608249940382,33.38857545075665,56.086467920409255,48.52209697560807,30.747707590390394,48.903337559341644,34.829967835217126,17.159365398550428
2019-08-25,10.55842224424869,15.492872552300796,32.452233523084544,56.5386552571993,48.06138493148591,31.09084763278555,47.70214132133057,33.89315074466004,16.913816915828146
2019-08-26,9.85053837842468,15.195226652319898,30.510023829456642,56.71767073353891,47.558199286875464,31.442996886059234,45.34015757397783,32.07752878858866,16.804208835070956
2019-08-27,9.550931683950976,15.12300341520888,29.793312563944852,57.011783680560086,47.52794794987286,32.20289484861582,44.40117003738755,31.701147209201775,17.661732455387472
2019-08-28,8.537340081663173,15.513473008487148,29.58044659903968,56.59822679016269,47.887378018028805,34.00289282329409,43.317761943778045,31.258103526834503,17.786389032170117
2019-08-29,8.570338057787302,14.588426246668346,29.93294311169733,55.61590547300053,47.96798353115464,36.03734560807999,43.73747996892211,31.26773560073605,18.110988377787493
2019-08-30,8.31875135404096,13.591763092470943,30.165049265306862,55.47927418771812,48.39399519503263,38.04291893912811,44.18210381620789,30.824497652378664,18.520899585782484
2019-08-31,8.358745869387329,11.987521578038814,30.421860981267375,55.738152223386635,48.80301024430194,38.51824728826307,45.009171653477146,30.33621041621542,18.910182916019295
2019-09-01,7.922177641221847,11.168267089182615,30.421860981267375,55.77203351600726,49.750657280430296,37.76885223708741,46.74146686134615,29.382486934338953,19.604922751215273
2019-09-02,7.733083953517618,9.510560995992654,30.08961815463115,54.58704130252835,49.944488153222096,36.87254504077232,47.28848146646783,27.29086549972136,20.14124530336399
2019-09-03,7.510186264591173,8.40681832326658,29.0075074042509,51.66989549744529,48.521283951870856,36.027693187129984,47.22392905981015,26.028471558042295,20.740558822391318
2019-09-04,7.4745747324424245,8.048302464642433,27.244695048813583,48.37374523343993,45.79062680968499,36.57971675873578,45.20501108433024,25.984662203672276,21.010459665028446
2019-09-05,7.023531700067875,8.701288550500346,25.224933129491944,45.61416563814847,43.57626315316204,35.97955725111663,43.289189951836285,26.21349754671631,21.0737637408043
2019-09-06,6.4893319257282185,9.308119938776438,23.289680796438365,43.97257377563506,41.77224821659488,35.83214835071597,41.50715125530812,25.812094259793316,21.43105145021613
2019-09-07,6.052249630890788,9.519390744569158,22.64256578312617,44.19815101050091,41.50355679076393,35.62027393624907,41.177662221637156,25.353358768583025,21.84787030790321
2019-09-08,5.508167998739477,9.317682305588368,20.182664788203102,43.66217247700556,39.94716974797157,35.16118629683195,39.973208360163625,24.264575872150346,22.034999746553854
2019-09-09,5.033715861889669,9.230399220466623,18.363447992027783,42.296262821425394,38.52593545686231,33.957188379267684,38.04411782773551,23.836655655883394,20.168608868755083
2019-09-10,4.349590579087187,9.176003843861977,16.14479522644643,40.82184780845807,36.86628261778211,32.3940028834661,35.348146279335275,23.183231259920195,18.01546323208905
2019-09-11,3.972598158592112,9.4394922514901,15.514894787477322,40.61493260525485,36.763791065194795,31.947636885213115,34.164801819665314,23.007716725401224,15.96311305776913
2019-09-12,3.942483613670253,9.201570295304725,14.465619689386715,41.05986594240656,37.45215819433033,31.300014238224623,33.11723082714858,21.92463741387627,15.4919735830084
2019-09-13,4.073981172844154,8.915689693134986,13.612872137373822,40.357888841078754,37.174441614882085,29.060922364667036,31.21991450075859,21.89134501785952,15.062828037945721
2019-09-14,4.532977857768409,8.782854594178442,12.578376872765892,38.62360510482449,36.26218221570957,27.38112470002628,28.68161339285487,20.983260530430957,15.211300958954403
2019-09-15,4.5666084213895175,8.912732876997337,10.965341688274455,37.65920110592075,35.13634843168217,26.61155538117671,26.968468030581622,20.896242742883718,14.93251622362552
2019-09-16,4.560256519485301,8.86412967656338,9.01657008958326,36.254326125072964,33.238188843430756,26.651878488581616,26.473356386498153,18.819991424163756,14.74253544516513
2019-09-17,4.454644463097741,8.568486225804923,7.84721340742504,34.252085170863005,30.889032137776905,25.49381132412093,26.10437046833215,18.430899456437494,14.183071887695684
2019-09-18,4.408922763790482,8.46754688821156,7.719518799161857,31.093705726954763,27.334572420756086,23.298554195956882,25.272935776333853,17.481522749826546,14.306668610396896
2019-09-19,4.385129516131143,8.395825777966927,7.889209056995388,28.868111696287215,24.77857587175266,20.508968307282156,23.509496407476835,17.93872919684409,14.359469514621338
2019-09-20,4.435119091518095,8.021885205753248,7.907480267354889,28.346315116801986,23.053990750379995,18.70610931964007,22.280391290358097,18.74985207990652,14.195254718937186
2019-09-21,4.433189480113065,7.003607677669553,7.082810354647077,28.59968873536455,22.669425133937512,17.63036097746331,21.957285018476167,19.93980481204412,14.157253620628238
2019-09-22,5.957869549631746,6.079229848834455,7.312566137844873,27.55974994504703,23.196983725178757,18.047227104196722,22.659591776840614,19.923713456080595,13.965330028356135
2019-09-23,7.3672825968141895,6.194843607617646,7.476182304829201,26.3181062752118,24.29946371176244,17.974764202412846,23.038606320071693,19.83159954945319,13.727342807136802
2019-09-24,9.168339817141076,6.940244414146778,8.395626969543077,24.42280701042802,24.813268576706346,17.692425595377557,22.972619066139046,20.104129517314846,12.756983449128535
2019-09-25,9.499136829291897,7.779296931624949,9.005247356795769,23.606223241652,24.700821838487343,16.985762850017444,22.2394928165627,21.101601473601225,11.812131686736215
2019-09-26,9.87734681988356,7.741425457742501,9.57810808003243,22.285997020975987,24.281623442261576,16.997843311984226,22.068104443517424,21.605230634285647,11.149165204005515
2019-09-27,10.011187520236632,7.619325588343751,9.780859882572498,21.54442688883081,24.416870134670912,16.884535705749148,21.728472555176126,20.869379671621353,10.968645129315101
2019-09-28,10.282308104392625,7.433921185915541,9.32842655811691,20.960604704011118,24.5354343161379,16.154322181643092,22.13363801118904,20.444850544813495,11.085702536225773
2019-09-29,10.152243428334819,7.184706658069882,8.74901814274611,21.20561098943212,24.261237554273013,14.877506442911987,21.840926640926654,19.918901201833545,10.71161348290449
2019-09-30,9.767129053463506,6.9580506134224,8.343469205012534,22.069341548999983,23.335259006361962,13.937016847633245,20.462939958592145,19.912425785920462,9.485280282468691
2019-10-01,9.191576300823142,6.66534206882477,8.132073935570133,23.277183097546615,22.860843748187804,14.003097315837062,18.0755536148712,19.818423580500067,8.130058627064733
2019-10-02,9.013887960566331,6.627855227451122,8.339687724425536,24.0309585269837,22.562644878034856,14.307914848850535,15.409269540265752,20.215623715492338,7.360042876434087
2019-10-03,9.145910414039443,6.710247880391922,9.026033417172455,24.320461161457672,22.242617063727277,14.77550906489067,14.326785141439524,20.552466455158562,6.975779181740916
2019-10-04,9.38275786473921,6.850318943373661,9.48687824977135,24.953048183357563,22.040225273146447,15.278740802904858,13.991334310181093,20.187529069514888,6.592381591951683
2019-10-05,9.726632146915371,6.478966099135616,9.806937111171145,26.05490157809055,22.06311161214411,15.456053193564017,14.401297984285918,19.600083185578885,6.000167046854898
2019-10-06,9.76086388053212,6.717997845837299,9.95740089166893,28.763065086393272,23.813444737621992,15.577646513750205,15.711492125696031,18.186372609402408,5.735138563039297
2019-10-07,9.809317665199139,6.92479244475114,10.194476286972172,31.655530813762635,25.47966438231353,15.75100515965496,16.32718644353255,17.47971782931527,5.40412258335773
2019-10-08,9.837521648537175,7.666892783683731,10.34338583347208,33.60137418732544,26.8449458549613,15.586442673269028,17.36418317253559,16.670294992754336,5.086798502159468
2019-10-09,10.116934935126855,7.71568775689876,10.635611264969818,33.50672373875693,27.01251032171628,15.52808054218076,17.519993835920825,17.04678843575299,4.432453981165653
2019-10-10,10.251600024280794,7.633307353193261,10.616161715784044,33.85247659185877,27.037303765570567,15.25563018472153,18.833540918532034,16.59238023623121,3.775472043022147
2019-10-11,10.378721275694119,7.465670373962079,10.77230941013208,34.354979468387484,27.263487805332314,15.543367229495942,19.335990700153953,16.471367093762623,3.0620672886463507
