AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
Indicator,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange
2020-01-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-31,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-02-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-03-31,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-04-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
