1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2,val_loss,train_loss
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,11,0.9992123209385502,18.59588,0.08718462
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,12,0.9992503291581643,21.163284,0.0826905
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,13,0.9991621459485253,18.121439,0.09210372
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,14,0.9991905651921895,20.410435,0.088681325
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,15,0.9991826956959091,22.82212,0.08924661
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,16,0.9991546154985199,25.124207,0.092011236
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,17,0.9991096285967687,25.272198,0.09660009
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,18,0.9991717053703966,23.072014,0.089591764
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,19,0.9989701275914147,26.665438,0.11106575
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,20,0.9991104043276875,26.724457,0.0956784
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,21,0.9990906101838019,24.905443,0.09756759
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,22,0.9988781994188783,26.312124,0.120085806
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,23,0.9991415954345804,23.97579,0.091704845
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,24,0.9990016710883217,26.740664,0.106448315
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,25,0.999062727691768,30.924137,0.099752545
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,26,0.9988344719340714,29.142233,0.12379987
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,27,0.9990466215836061,35.923985,0.10105738
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,28,0.9989333703924307,33.582577,0.11281159
