Conv1,Conv2,Dense,Dropout,LSTM,batch_size,lags,3 Months Anomaly (%) Rainfall,1 Month Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,NDVI Anomaly,Rainfall (mm),rCSI,Lat,Lon,Population,Ramadan,epoch,val_loss,train_loss
30,3,76,0.2232043042973652,79,64,16,16,16,16,16,16,16,16,16,16,16,16,16,16,59,0.008810972794890404,0.0017018829922655922
6,4,32,0.3710921246702414,52,8,71,71,71,71,71,71,71,71,71,71,71,71,71,71,62,0.009260897369434437,0.0032171690591907913
24,3,9,0.2444101030588677,57,16,76,76,76,76,76,76,76,76,76,76,76,76,76,76,250,0.009134102892130614,0.00528369530679552
36,4,99,0.4788018368440542,7,128,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,0.014722895808517933,0.0042617455767911105
61,2,39,0.14565989125650736,82,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,88,0.017160717397928238,0.011448524037878665
56,4,46,0.07330720992714648,81,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,52,0.009606975751618544,0.0012092446648037164
19,3,52,0.17824254659901134,74,128,31,31,31,31,31,31,31,31,31,31,31,31,31,31,63,0.010407297872006893,0.0022135256991772227
21,1,5,0.30733715289155583,19,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,105,0.006286104675382376,0.010128406632143455
21,1,30,0.2041080382150095,58,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,88,0.011898761615157127,0.0038313161823208684
21,1,5,0.3845401727821818,60,256,51,51,51,51,51,51,51,51,51,51,51,51,51,51,97,0.01505872793495655,0.015725899468919242
13,1,10,0.33678392048935235,19,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,166,0.006581815890967846,0.007393058825161185
46,1,54,0.11645924920960499,37,256,81,81,81,81,81,81,81,81,81,81,81,81,81,81,58,0.027419086545705795,0.005744118816046803
15,1,5,0.27188041934810286,64,256,41,41,41,41,41,41,41,41,41,41,41,41,41,41,238,0.01067447941750288,0.0075340849772226395
4,1,80,0.46319793643465157,41,256,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0.015462121926248074,0.0067093633474429055
11,1,74,0.1336840101391557,14,32,86,86,86,86,86,86,86,86,86,86,86,86,86,86,54,0.015344858045379321,0.0016158069455144946
27,1,50,0.26426299459969005,28,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,82,0.007848520763218403,0.004452504408364003
8,1,64,0.34831107004498796,19,64,36,36,36,36,36,36,36,36,36,36,36,36,36,36,63,0.009682763367891312,0.0028820586841124198
34,3,61,0.43243508762993427,77,16,91,91,91,91,91,91,91,91,91,91,91,91,91,91,143,0.00962846822415789,0.0023025245859454838
2,2,62,0.24095612042403938,92,8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,58,0.00836562526722749,0.0014899260303402532
63,1,93,0.28816754159822333,53,512,11,11,11,11,11,11,11,11,11,11,11,11,11,11,70,0.009235246106982231,0.004867228029190369
28,3,60,0.4015046108455932,2,16,46,46,46,46,46,46,46,46,46,46,46,46,46,46,70,0.008020790386945009,0.003871075857972875
38,3,58,0.2104007773881281,96,256,76,76,76,76,76,76,76,76,76,76,76,76,76,76,65,0.017181772738695145,0.00515676047955829
18,1,95,0.08428605951515361,40,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,55,0.011021183927853902,0.0011118543660114503
54,2,94,0.38516932183666885,51,64,26,26,26,26,26,26,26,26,26,26,26,26,26,26,55,0.009879717603325844,0.002206666167866398
21,3,63,0.19429205543866396,10,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.008244135851661364,0.0018471975242383442
17,1,89,0.31968890863907246,34,8,61,61,61,61,61,61,61,61,61,61,61,61,61,61,71,0.009008581222345432,0.0018163450170374875
45,3,71,0.15869866483628378,48,256,96,96,96,96,96,96,96,96,96,96,96,96,96,96,64,0.011915343813598156,0.006486017592546959
20,1,65,0.36436463761847804,15,512,71,71,71,71,71,71,71,71,71,71,71,71,71,71,80,0.02259800024330616,0.009454942899553672
25,2,2,0.04489218972448536,29,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,54,0.010699539072811603,0.00638026351572892
10,3,57,0.3325409710981135,49,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,54,0.008535245557626088,0.0022081499428365584
58,1,45,0.012719824005417157,35,256,21,21,21,21,21,21,21,21,21,21,21,21,21,21,64,0.012445318512618542,0.001841914511492683
59,3,72,0.1073475666423091,4,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.007533259565631548,0.0017499781889818587
35,2,49,0.21911027587992735,72,64,51,51,51,51,51,51,51,51,51,51,51,51,51,51,57,0.009346719831228256,0.002174030416974365
51,1,12,0.29384742962978394,97,8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,55,0.009542105517660578,0.007259670130116048
22,3,43,0.25820603530302344,66,256,86,86,86,86,86,86,86,86,86,86,86,86,86,86,73,0.012182273901998997,0.007371363340206044
40,4,11,0.35237544977416074,86,16,81,81,81,81,81,81,81,81,81,81,81,81,81,81,63,0.011638650298118591,0.0056121795076049035
37,3,87,0.27938442871489966,25,512,6,6,6,6,6,6,6,6,6,6,6,6,6,6,183,0.0065338811837136745,0.003246854634412953
12,1,92,0.17409798681645813,78,128,66,66,66,66,66,66,66,66,66,66,66,66,66,66,83,0.011352661065757275,0.0018018074899765792
61,4,53,0.23837444423508045,61,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,54,0.01108378649999698,0.0023823460199919994
60,3,4,0.407414985334149,26,16,26,26,26,26,26,26,26,26,26,26,26,26,26,26,59,0.015374549167851607,0.021379171241579693
47,4,29,0.2277771893127748,99,64,56,56,56,56,56,56,56,56,56,56,56,56,56,56,119,0.00963449664413929,0.0023285088673885403
62,1,44,0.4536113101219309,93,8,46,46,46,46,46,46,46,46,46,46,46,46,46,46,56,0.008704178594052791,0.004074492895464138
1,4,83,0.142910932867003,27,128,11,11,11,11,11,11,11,11,11,11,11,11,11,11,72,0.010145099833607674,0.0026040882211904857
32,3,90,0.25072150774534263,55,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,82,0.0076323384419083595,0.003133585881413864
5,1,33,0.12664594841460128,18,512,91,91,91,91,91,91,91,91,91,91,91,91,91,91,144,0.010761602781713009,0.006777604719480643
21,4,3,0.4931215513211459,76,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,82,0.025934345461428164,0.03317277625006418
39,2,36,0.06629257990328663,95,128,76,76,76,76,76,76,76,76,76,76,76,76,76,76,54,0.01930839568376541,0.0031827370181861446
6,4,41,0.3757986816807907,6,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,74,0.007435651496052742,0.005418119455936614
53,4,67,0.3015004558087933,59,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,74,0.0075933197513222694,0.002397626304373917
33,4,27,0.2654620062846753,56,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,64,0.006933304946869612,0.0033288491808728233
42,4,5,0.3226297127496294,36,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,81,0.007985669188201427,0.007939335651829972
14,4,69,0.28410075848985894,69,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,85,0.006888591218739748,0.0025727126937549753
50,4,19,0.327496026633748,44,128,71,71,71,71,71,71,71,71,71,71,71,71,71,71,244,0.010406223125755787,0.003990744757533506
52,4,98,0.30146565196640696,73,128,96,96,96,96,96,96,96,96,96,96,96,96,96,96,87,0.010999178513884544,0.004206499470663923
29,4,77,0.3448286192990082,71,128,61,61,61,61,61,61,61,61,61,61,61,61,61,61,92,0.00965919066220522,0.002133985489074673
43,4,25,0.3930230150116916,24,128,31,31,31,31,31,31,31,31,31,31,31,31,31,31,64,0.010044830851256847,0.005953755731470594
49,4,15,0.27092124789716865,5,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,106,0.009907210245728493,0.006595267892773014
31,4,12,0.3678725934054854,19,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,59,0.007766897479693095,0.0053424074987156525
55,4,88,0.2953826172188314,16,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.008116130717098713,0.002519816189428215
3,1,8,0.3088489759779799,43,16,41,41,41,41,41,41,41,41,41,41,41,41,41,41,63,0.008094294803837936,0.006606588499587879
16,3,78,0.3579383099585062,68,64,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58,0.011976096779108047,0.002177715956967211
6,4,85,0.21480028323041822,39,8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,59,0.012920584498594205,0.0012199457627170348
41,1,86,0.19729521818021253,75,128,81,81,81,81,81,81,81,81,81,81,81,81,81,81,117,0.011834683828055859,0.00210278894993718
21,3,82,0.3352043545114339,22,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,59,0.007479407824575901,0.005313658085022424
48,2,6,0.43424637180777537,65,16,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,0.014499505050480366,0.01623502019549312
61,1,26,0.1841998447452134,90,128,36,36,36,36,36,36,36,36,36,36,36,36,36,36,85,0.010578269138932228,0.0031439958552258863
24,3,16,0.2486471849262955,94,256,56,56,56,56,56,56,56,56,56,56,56,56,56,56,102,0.009804262779653072,0.004817672661134129
46,4,42,0.2364186867684926,88,16,91,91,91,91,91,91,91,91,91,91,91,91,91,91,88,0.011587951239198447,0.0016886394363469803
23,4,40,0.2753158148434301,2,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,62,0.008484572855134804,0.0046019964933442245
36,3,67,0.027327931082527006,32,64,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,0.011098053306341171,0.0009404807601303317
57,1,7,0.26035737262670644,21,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,51,0.008238251243407527,0.0075088972112516295
30,4,91,0.20547427568705692,70,128,16,16,16,16,16,16,16,16,16,16,16,16,16,16,62,0.011287159286439419,0.001875280866955742
44,3,22,0.41983776066906303,91,256,26,26,26,26,26,26,26,26,26,26,26,26,26,26,179,0.009759586304426193,0.0046946427992957855
56,2,1,0.39228332073990324,47,16,71,71,71,71,71,71,71,71,71,71,71,71,71,71,109,0.025868969721098742,0.029606781441016472
19,1,28,0.3803468127097285,50,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,137,0.016080914065241814,0.015177185898498884
15,4,84,0.22631233541567886,67,128,61,61,61,61,61,61,61,61,61,61,61,61,61,61,103,0.011500740423798561,0.0015345042992738031
7,3,73,0.2875839657357073,59,32,76,76,76,76,76,76,76,76,76,76,76,76,76,76,102,0.010650989413261414,0.001478558410398238
2,1,81,0.3151888374905966,42,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,90,0.011231561191380024,0.003850904268254775
11,4,87,0.34213151613749615,98,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,64,0.007490915711969137,0.00286687385268487
27,2,75,0.4443429797251078,8,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,53,0.009269576954344909,0.003037453087098483
8,4,38,0.32699659818828447,46,64,31,31,31,31,31,31,31,31,31,31,31,31,31,31,58,0.010192016139626503,0.002878026375113878
21,1,55,0.09731523513458724,87,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.008581419428810477,0.0012048050881134117
4,3,48,0.3571378553528619,31,128,51,51,51,51,51,51,51,51,51,51,51,51,51,51,61,0.012390370480716228,0.003745168921151998
38,4,34,0.29826723037956676,63,256,86,86,86,86,86,86,86,86,86,86,86,86,86,86,88,0.012068269774317741,0.007926012117976463
13,1,97,0.15126524628514793,30,16,41,41,41,41,41,41,41,41,41,41,41,41,41,41,54,0.012839022527138392,0.001108826212217345
34,3,51,0.2550965630312709,20,512,81,81,81,81,81,81,81,81,81,81,81,81,81,81,78,0.02650909498333931,0.009333492222207564
28,4,47,0.47618931898521866,89,128,66,66,66,66,66,66,66,66,66,66,66,66,66,66,101,0.008108989335596561,0.003322094561702578
54,2,70,0.23360329949488004,80,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.007781752664595842,0.001736843308878576
18,1,18,0.27978627050690386,85,128,56,56,56,56,56,56,56,56,56,56,56,56,56,56,84,0.010708605870604515,0.0034604536781667685
10,3,14,0.4237557402874418,83,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,64,0.009627973226209481,0.006043535172019476
35,4,24,0.3698377308693904,33,64,46,46,46,46,46,46,46,46,46,46,46,46,46,46,59,0.009335878305137157,0.00407977236496031
25,1,20,0.2658754934556153,45,8,91,91,91,91,91,91,91,91,91,91,91,91,91,91,54,0.010083198919892311,0.006056628421617624
45,3,68,0.1899615197961575,38,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58,0.008550033904612064,0.002262428028413931
63,4,35,0.3077609881463518,13,256,11,11,11,11,11,11,11,11,11,11,11,11,11,11,60,0.011637115851044655,0.005035497700947823
6,2,96,0.3489911718277597,57,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,52,0.009491006719569366,0.0019063711243992052
58,4,10,0.24644397403757426,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,150,0.006344106514006853,0.010879120886353127
58,3,10,0.17406709924502436,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,147,0.00692561874166131,0.011322218928854544
20,1,23,0.20782029729622764,17,512,71,71,71,71,71,71,71,71,71,71,71,71,71,71,82,0.018499966710805893,0.011308089608623497
61,4,59,0.08437861293358925,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,309,0.004755372181534767,0.003889761235728696
58,4,59,0.08244217202173812,81,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,73,0.010268562473356724,0.0032414536404631513
58,3,59,0.00020708272071306988,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,460,0.006559469271451235,0.0035806862379837057
59,4,9,0.04363863114187817,19,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,86,0.012989887036383152,0.0060971182644803884
40,1,31,0.03231676661471435,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,408,0.007510150782763958,0.004923567275820307
51,4,10,0.05373652125741537,1,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,185,0.006578577682375908,0.009287185308561001
12,2,5,0.11181854112197658,12,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,123,0.00979001447558403,0.008177226699288293
26,3,37,0.06252103632045791,9,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,118,0.00901794619858265,0.003771969839766785
