AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2020-07-13,99.57547388535743,95.27059046495768,232.07580000000002,108.01255022200648,102.1244216358705,250.52640000000002,84.53531841756023,79.83878438396583,179.753,74.63701873765363,74.05483152780617,160.51440000000002,84.70064290698492,80.67630587665379,146.87329999999997,97.64403551409735,91.59768108558167,230.00119999999998,84.02942985600599,78.05379289683083,199.0237,82.01734579752221,78.81177041623287,170.65359999999998,106.89021816718544,102.65764567921012,255.19129999999998,93.16732439049618,91.63110960206204,166.2817,81.81694067976744,77.34525496903227,169.348,82.51040698310922,79.394348024628,99.0316,102.88601703381123,97.07044455754365,245.2696
2020-07-14,100.34523356754256,95.74609443111626,240.3347,107.68472883562468,102.04997556462295,251.6216,84.95302100650346,80.14040454158808,189.58159999999998,74.68837642674332,73.95374292266536,167.42090000000002,85.2517975334508,81.08624592999229,154.6316,98.06724650557844,91.88966748460767,240.5351,84.39393493650594,78.3059486688313,209.7935,82.38149039928852,78.92483581995523,177.0609,106.86798352878706,102.68909098969412,259.53499999999997,93.72773969762174,92.04620255756315,173.2104,82.3062396291077,77.66099942216884,178.56459999999998,82.86698848155922,79.65274424125876,105.5026,102.78458518187601,97.06580693312561,247.8396
2020-07-15,101.1736494365067,96.25613850297056,248.59359999999998,107.3130900119002,101.94983822232537,252.71680000000003,85.45608641414199,80.4924655497101,199.41019999999997,74.77615161632522,73.87835884486799,174.3274,85.8825555666286,81.55655185650663,162.38989999999998,98.55747901152054,92.21662817371792,251.06900000000002,84.83463412826013,78.60388207356507,220.5633,82.75900461206687,79.06490131796646,183.4682,106.840517111465,102.71356476016537,263.8787,94.36328256203316,92.51391479433747,180.13909999999998,82.87761279419614,78.03187705174079,187.7812,83.29812283756337,79.97711119619534,111.9736,102.66469372764193,97.0497015136995,250.40959999999998
2020-07-16,102.02372861680006,96.78410068216564,256.0906,106.9523562810963,101.86253279012287,256.1256,86.03150823608023,80.8961608788758,209.18779999999998,74.93290670850772,73.85139670760476,182.06799999999998,86.56552914746472,82.07629821504581,169.9706,99.13854757082693,92.60414791741725,262.5164,85.3661324097294,78.96037807388932,231.6264,83.15940386416459,79.23847220883941,189.9124,106.8090932984533,102.74070422880446,268.0698,95.02859761458514,93.00805412995598,186.60039999999998,83.51159381908687,78.45282321770125,196.8234,83.79227302408718,80.35969516056282,118.2346,102.57876428271098,97.05520120313442,254.7504
2020-07-17,102.89547110842263,97.32998096870152,263.5876,106.60252764321301,101.78805926801543,259.5344,86.67928647231815,81.35149052908517,218.9654,75.15864170329083,73.8728565108757,189.8086,87.30071827595918,82.64548500560986,177.55129999999997,99.81045218349759,93.05222671570573,273.9638,85.98842978091382,79.37543666980403,242.6895,83.58268815558166,79.44554849257408,196.35660000000001,106.77371208975201,102.77050939561134,272.2609,95.72368485527765,93.52862056441866,193.06169999999997,84.20818270377983,78.92383792005025,205.86559999999997,84.34943904113065,80.80049613436115,124.4956,102.5267968470832,97.08230600143033,259.0912
2020-07-18,103.78887691137444,97.89377936257817,271.0846,106.26360409825033,101.72641765600305,262.94320000000005,87.39942112285574,81.85845450033825,228.74299999999997,75.45335660067452,73.94273825468078,197.54919999999998,88.08812295211199,83.26411222819873,185.132,100.57319284953256,93.56086456858327,285.4112,86.7015262418133,79.84905786130922,253.75259999999997,84.02885748631813,79.68613016917045,202.80079999999998,106.73437348536108,102.80298026058607,276.452,96.44854428411075,94.07561409772555,199.523,84.96737944827503,79.44492115878775,214.9078,84.96962088869383,81.29951411759033,130.7566,102.50879142075853,97.13101590858722,263.432
2020-07-19,104.70394602565548,98.47549586379564,278.5816,105.93558564620824,101.67760795408572,266.352,88.191912187693,82.417052792635,238.52059999999997,75.81705140065885,74.06104193902,205.28979999999999,88.92774317592315,83.93217988281246,192.71269999999998,101.4267695689318,94.13006147604993,296.8586,87.50542179242791,80.3812416484049,264.8157,84.49791185637397,79.96021723862857,209.245,106.69107748528053,102.83811682372858,280.6431,97.20317590108438,94.6490347298766,205.9843,85.78918405257251,80.01607293391378,223.95,85.65281856677663,81.85674911025042,137.01760000000002,102.52474800373705,97.20133092460512,267.77279999999996
2020-07-20,105.64067845126577,99.07513047235388,286.0786,105.61847228708676,101.64163016226345,269.7608,89.05675966682996,83.02728540597546,248.29819999999998,76.24972610324377,74.22776756389337,213.0304,89.81957894739263,84.64968796945102,200.2934,102.37118234169535,94.75981743810567,308.30600000000004,88.40011643275761,80.97198803109106,275.8788,84.98985126574918,80.26780970094839,215.6892,106.64382408951035,102.87591908503893,284.8342,97.98757970619856,95.24888246087188,212.44559999999998,86.6735965166722,80.63729324542832,232.9922,86.3990320753791,82.47220111234135,143.2786,102.57466659601869,97.293251049484,272.1136
2020-07-21,106.58472471176138,99.68172530971184,293.731,105.30141772080664,101.61912424596174,274.48670000000004,89.97698447406553,83.67117460352158,257.59409999999997,76.75742549585878,74.4434349521995,223.73329999999999,90.78094289728438,85.40534069115373,209.27659999999997,103.35103768111593,95.41480991651777,315.7672,89.33986290089342,81.59102347780802,284.1206,85.54230158620592,80.6093673430227,224.8774,106.5760231350321,102.91340592344572,289.8698,98.80384222378127,95.86527963344042,219.6349,87.61400668149612,81.29194271287749,242.0233,87.19891935912268,83.11534996511732,149.7254,102.65154530527441,97.41035993525308,278.7875
2020-07-22,107.53608480714229,100.2952803758695,301.3834,104.98442194736789,101.61009020518061,279.21260000000007,90.95258660939977,84.34872038527338,266.89,77.34014957850387,74.70804410393839,234.43619999999999,91.81183502559834,86.19913804792057,218.25979999999998,104.36633558719352,96.09503891128621,323.2284,90.3246611968353,82.23834798855584,292.3624,86.15526281774426,80.9848901648515,234.0656,106.48767462184573,102.950577338949,294.9054,99.6519634538325,96.49822624758225,226.8242,88.61041454704426,81.98002133626122,251.0544,88.05248041800739,83.7861956685783,156.17220000000003,102.75538413150421,97.55265758191237,285.4614
