SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-4-22_2019-7-20,2019-07-20,ADAMAWA,900959,20.87179,1295480,270389
2019-4-22_2019-7-20,2019-07-20,CENTRAL,900960,18.89251,4672234,882702
2019-4-22_2019-7-20,2019-07-20,EAST,900961,21.642170000000004,1108419,239885
2019-4-22_2019-7-20,2019-07-20,FAR-NORTH,900962,13.715360000000002,4545866,623481
2019-4-22_2019-7-20,2019-07-20,LITTORAL,900963,15.22199,3845583,585374
2019-4-22_2019-7-20,2019-07-20,NORTH,900964,8.01008,2825922,226358
2019-4-22_2019-7-20,2019-07-20,SOUTH,900967,15.637070000000001,797019,124630
2019-4-22_2019-7-20,2019-07-20,WEST,900966,33.37995,2066677,689855
2019-6-22_2019-7-21,2019-07-21,NORTH-WEST,900965,54.68709000000001,2221973,1215132
2019-6-22_2019-7-21,2019-07-21,SOUTH-WEST,900968,49.04848,1837059,901049
2019-4-23_2019-7-21,2019-07-21,ADAMAWA,900959,21.313129999999997,1295480,276107
2019-4-23_2019-7-21,2019-07-21,CENTRAL,900960,18.515560000000004,4672234,865090
2019-4-23_2019-7-21,2019-07-21,EAST,900961,21.00344,1108419,232806
2019-4-23_2019-7-21,2019-07-21,FAR-NORTH,900962,13.43146,4545866,610576
2019-4-23_2019-7-21,2019-07-21,LITTORAL,900963,14.772259999999998,3845583,568079
2019-4-23_2019-7-21,2019-07-21,NORTH,900964,8.436110000000001,2825922,238397
2019-4-23_2019-7-21,2019-07-21,SOUTH,900967,15.326399999999998,797019,122154
2019-4-23_2019-7-21,2019-07-21,WEST,900966,32.8893,2066677,679715
2019-6-23_2019-7-22,2019-07-22,NORTH-WEST,900965,54.23508,2221973,1205088
2019-6-23_2019-7-22,2019-07-22,SOUTH-WEST,900968,48.43074,1837059,889701
2019-4-24_2019-7-22,2019-07-22,ADAMAWA,900959,20.94293,1295480,271311
2019-4-24_2019-7-22,2019-07-22,CENTRAL,900960,18.3182,4672234,855869
2019-4-24_2019-7-22,2019-07-22,EAST,900961,21.83469,1108419,242019
2019-4-24_2019-7-22,2019-07-22,FAR-NORTH,900962,13.159079999999998,4545866,598194
2019-4-24_2019-7-22,2019-07-22,LITTORAL,900963,14.61039,3845583,561854
2019-4-24_2019-7-22,2019-07-22,NORTH,900964,8.252900000000002,2825922,233220
2019-4-24_2019-7-22,2019-07-22,SOUTH,900967,16.28335,797019,129781
2019-4-24_2019-7-22,2019-07-22,WEST,900966,32.26678999999999,2066677,666850
2019-6-24_2019-7-23,2019-07-23,NORTH-WEST,900965,54.87852999999999,2221973,1219386
2019-6-24_2019-7-23,2019-07-23,SOUTH-WEST,900968,47.166129999999995,1837059,866469
2019-4-25_2019-7-23,2019-07-23,ADAMAWA,900959,20.04751,1295480,259711
2019-4-25_2019-7-23,2019-07-23,CENTRAL,900960,17.89433,4672234,836064
2019-4-25_2019-7-23,2019-07-23,EAST,900961,21.2262,1108419,235275
2019-4-25_2019-7-23,2019-07-23,FAR-NORTH,900962,12.972009999999996,4545866,589690
2019-4-25_2019-7-23,2019-07-23,LITTORAL,900963,15.513130000000002,3845583,596570
2019-4-25_2019-7-23,2019-07-23,NORTH,900964,8.12738,2825922,229673
2019-4-25_2019-7-23,2019-07-23,SOUTH,900967,15.846019999999998,797019,126295
2019-4-25_2019-7-23,2019-07-23,WEST,900966,31.009090000000004,2066677,640857
2019-6-25_2019-7-24,2019-07-24,NORTH-WEST,900965,57.04336,2221973,1267488
2019-6-25_2019-7-24,2019-07-24,SOUTH-WEST,900968,45.76343000000001,1837059,840701
2019-4-26_2019-7-24,2019-07-24,ADAMAWA,900959,19.49192,1295480,252513
2019-4-26_2019-7-24,2019-07-24,CENTRAL,900960,17.709919999999997,4672234,827448
2019-4-26_2019-7-24,2019-07-24,EAST,900961,23.235960000000002,1108419,257551
2019-4-26_2019-7-24,2019-07-24,FAR-NORTH,900962,12.71777,4545866,578132
2019-4-26_2019-7-24,2019-07-24,LITTORAL,900963,15.839240000000002,3845583,609111
2019-4-26_2019-7-24,2019-07-24,NORTH,900964,8.024400000000002,2825922,226763
2019-4-26_2019-7-24,2019-07-24,SOUTH,900967,15.62224,797019,124512
2019-4-26_2019-7-24,2019-07-24,WEST,900966,30.690100000000005,2066677,634265
2019-6-26_2019-7-25,2019-07-25,NORTH-WEST,900965,56.45732000000001,2221973,1254466
2019-6-26_2019-7-25,2019-07-25,SOUTH-WEST,900968,46.28378,1837059,850260
2019-4-27_2019-7-25,2019-07-25,ADAMAWA,900959,19.357800000000005,1295480,250776
2019-4-27_2019-7-25,2019-07-25,CENTRAL,900960,17.529279999999996,4672234,819008
2019-4-27_2019-7-25,2019-07-25,EAST,900961,22.92683,1108419,254125
2019-4-27_2019-7-25,2019-07-25,FAR-NORTH,900962,12.526810000000001,4545866,569451
2019-4-27_2019-7-25,2019-07-25,LITTORAL,900963,15.654210000000004,3845583,601995
2019-4-27_2019-7-25,2019-07-25,NORTH,900964,7.923999999999999,2825922,223926
2019-4-27_2019-7-25,2019-07-25,SOUTH,900967,15.33795,797019,122246
2019-4-27_2019-7-25,2019-07-25,WEST,900966,29.73422,2066677,614510
2019-6-27_2019-7-26,2019-07-26,NORTH-WEST,900965,57.17641,2221973,1270444
2019-6-27_2019-7-26,2019-07-26,SOUTH-WEST,900968,46.158150000000006,1837059,847952
2019-4-28_2019-7-26,2019-07-26,ADAMAWA,900959,19.05192,1295480,246813
2019-4-28_2019-7-26,2019-07-26,CENTRAL,900960,17.70175,4672234,827067
2019-4-28_2019-7-26,2019-07-26,EAST,900961,22.18884,1108419,245945
2019-4-28_2019-7-26,2019-07-26,FAR-NORTH,900962,12.263750000000002,4545866,557493
2019-4-28_2019-7-26,2019-07-26,LITTORAL,900963,15.33181,3845583,589597
2019-4-28_2019-7-26,2019-07-26,NORTH,900964,7.8082199999999995,2825922,220654
2019-4-28_2019-7-26,2019-07-26,SOUTH,900967,15.68211,797019,124989
2019-4-28_2019-7-26,2019-07-26,WEST,900966,29.01135,2066677,599570
2019-6-28_2019-7-27,2019-07-27,NORTH-WEST,900965,55.31465,2221973,1229076
2019-6-28_2019-7-27,2019-07-27,SOUTH-WEST,900968,45.69825,1837059,839503
2019-4-29_2019-7-27,2019-07-27,ADAMAWA,900959,18.3878,1295480,238210
2019-4-29_2019-7-27,2019-07-27,CENTRAL,900960,17.42951,4672234,814347
2019-4-29_2019-7-27,2019-07-27,EAST,900961,22.47239,1108419,249088
2019-4-29_2019-7-27,2019-07-27,FAR-NORTH,900962,12.036270000000002,4545866,547152
2019-4-29_2019-7-27,2019-07-27,LITTORAL,900963,15.09009,3845583,580301
2019-4-29_2019-7-27,2019-07-27,NORTH,900964,7.5,2825922,211944
2019-4-29_2019-7-27,2019-07-27,SOUTH,900967,15.387820000000001,797019,122643
2019-4-29_2019-7-27,2019-07-27,WEST,900966,28.5259,2066677,589538
2019-6-29_2019-7-28,2019-07-28,NORTH-WEST,900965,55.20231,2221973,1226580
2019-6-29_2019-7-28,2019-07-28,SOUTH-WEST,900968,46.03995,1837059,845781
2019-4-30_2019-7-28,2019-07-28,ADAMAWA,900959,18.17399,1295480,235440
2019-4-30_2019-7-28,2019-07-28,CENTRAL,900960,17.17791,4672234,802592
